Batch ID,cold_water_flow_avg,inlet_temp_avg,fouling_factor_avg,ambient_temp_avg,outlet_temp_avg,Timestamp_avg,Readings_Count,Used_For_Training
test_batch_1779260089965710632,16.261492319772703,116.44284328810429,6.481250905850949,19.30951513273392,96.94853168628951,1779260091.919496,20,True
test_batch_1779260169029249769,8.517996667346175,102.30489187057792,13.885803452359587,34.534659712601055,94.04826190236624,1779260170.983136,20,True
test_batch_1779260287693423957,14.200054633322129,61.887245980823536,10.56636090808379,32.02756361833612,58.91112901509989,1779260289.6474242,20,True
test_batch_1779261771553319067,19.736054986778512,117.22343780201128,14.082683434745343,22.135770663802777,95.75031894736108,1779261773.5077026,20,True
test_batch_1779261776187921147,11.64905100949812,93.9046490602488,6.109767183149165,34.89722503302117,87.77841870197524,1779261778.1428225,20,True
test_batch_1779262514823523329,10.15349476339119,105.04097871055046,21.571957231751384,13.880375540892055,83.44618875572759,1779262516.7772331,20,True
test_batch_1779262519221209685,11.335633794300495,93.46634303139255,0.9676363249474584,30.16028174150342,86.40054180912851,1779262521.1750484,20,True
test_batch_1779262524566404342,6.708306538597256,90.5758736073765,21.47805406732654,14.040825736554918,72.89485197969283,1779262526.519936,20,True
test_batch_1779263127509457456,15.315796876284589,108.3778976207656,19.798057400356416,14.29782217707356,85.57602378508321,1779263129.463514,20,True
test_batch_1779298570232952054,19.40954656134944,103.4780059793726,6.390063707196159,30.2399002966984,90.81879880350724,1779298572.186673,20,True
test_batch_1779299469285807373,11.175719061665635,107.634916498184,3.9931916404059407,12.680309368804988,88.0836739350541,1779299471.2401135,20,True
test_batch_1779299936401317846,4.860779487094021,94.74324714759685,15.279514126233348,23.0204341018869,82.81556914882376,1779299938.35503,20,True
